class_no,sect_no,class_number,class_name,place,entry_no,horse,rider,owner,score,prize
29264,10532,270,"USHJA Hunter 2'9""",,1848,Mystery Man,Schuyler Dayner,Schuyler Dayner,,
29264,10532,270,"USHJA Hunter 2'9""",,1977,Just A Gentleman,Brittany G. Wyatt,Brittany G. Wyatt,,
29264,10532,270,"USHJA Hunter 2'9""",,2120,Freeman,Caroline Willard Briles,Linda E. Vellman,,
29264,10532,270,"USHJA Hunter 2'9""",,2969,Kismet,Joshua Tabor,Gunnar P. Roeer,,
29264,10532,270,"USHJA Hunter 2'9""",,2977,Dialey Ak,Helen Goddard,Stacy A. Ryback,,
29263,10532,271,"USHJA Hunter 2'9""",1,1848,Mystery Man,Schuyler Dayner,Schuyler Dayner,,
29263,10532,271,"USHJA Hunter 2'9""",2,1453,Childhood Dream,Lanie Nash,Jackie Sawyer,,
29263,10532,271,"USHJA Hunter 2'9""",3,1628,Milas D,Jennifer Strickland,Annabelle Campbell,,
29263,10532,271,"USHJA Hunter 2'9""",4,2066,Red Admiral,Elizabeth C. de Golian,Eyckenhoeve Group Inc,,
29263,10532,271,"USHJA Hunter 2'9""",5,2978,Toussant,Helen Goddard,Laura V. Ganny,,
29263,10532,271,"USHJA Hunter 2'9""",6,2943,Gladrags,Stephanie Frey,Leslie B. Kramer,,
29263,10532,271,"USHJA Hunter 2'9""",7,1049,Vote For Pedro,Carsyn Korotkin,Linda Lauper-Polk,,
